pid,stad,size,sum,own_base,shrunk,edge_pp,stat,name,role,team,last_season
00-0039874,Hard Rock Stadium,7,4,0.375,0.42592592592592593,5.1,rush_yards,J.Wright,RB,MIA,2025
00-0032063,Bank of America Stadium,6,4,0.4444444444444444,0.49572649572649574,5.1,rush_yards,M.Davis,RB,BAL,2022
00-0037755,Lucas Oil Stadium,4,3,0.4444444444444444,0.4953703703703704,5.1,rec_yards,J.Woods,TE,NYJ,2025
00-0031408,Mercedes-Benz Stadium,4,3,0.4411764705882353,0.49264705882352944,5.1,rec_yards,M.Evans,WR,TB,2025
00-0039066,Allegiant Stadium,16,8,0.38461538461538464,0.4358974358974359,5.1,rec_yards,M.Mayer,TE,LV,2025
00-0034676,Heinz Field,12,5,0.28,0.33125000000000004,5.1,rec_yards,J.Washington,WR,DAL,2022
00-0039623,Mercedes-Benz Superdome,4,3,0.4444444444444444,0.4953703703703704,5.1,rec_yards,M.Tipton,WR,NO,2025
00-0023459,Lambeau Field,21,14,0.5671641791044776,0.6181288678558428,5.1,pass_yards,A.Rodgers,QB,PIT,2025
00-0031547,New Era Field,4,3,0.4444444444444444,0.4953703703703704,5.1,rec_yards,D.Parker,WR,NE,2023
00-0037741,Lincoln Financial Field,13,8,0.4888888888888889,0.5387205387205387,5.0,rec_yards,J.Dotson,WR,PHI,2025
00-0029701,Lucas Oil Stadium,4,3,0.4523809523809524,0.501984126984127,5.0,pass_yards,R.Tannehill,QB,TEN,2023
00-0032764,Nissan Stadium,21,13,0.5205479452054794,0.5709989976612094,5.0,rush_yards,D.Henry,RB,BAL,2025
00-0032187,NRG Stadium,10,7,0.55,0.6,5.0,rush_yards,D.Johnson,RB,NO,2022
00-0031610,MetLife Stadium,8,5,0.45,0.5,5.0,rec_yards,D.Waller,TE,MIA,2025
00-0034857,MetLife Stadium,4,3,0.45,0.5,5.0,pass_yards,J.Allen,QB,BUF,2025
00-0036264,Ford Field,4,3,0.4523809523809524,0.501984126984127,5.0,pass_yards,J.Love,QB,GB,2025
00-0034844,FedExField,4,3,0.45,0.5,5.0,rush_yards,S.Barkley,RB,PHI,2025
00-0036223,NRG Stadium,4,3,0.45454545454545453,0.5037878787878788,4.9,rush_yards,J.Taylor,RB,IND,2025
00-0035243,Lincoln Financial Field,16,8,0.3888888888888889,0.4382716049382716,4.9,rush_yards,M.Sanders,RB,DAL,2025
00-0037263,Mercedes-Benz Superdome,4,3,0.45454545454545453,0.5037878787878788,4.9,rush_yards,T.Allgeier,RB,ATL,2025
00-0034104,FedExField,11,7,0.5,0.5483870967741935,4.8,rec_yards,C.Sims,WR,WAS,2022
00-0033077,AT&T Stadium,28,18,0.5614035087719298,0.6089181286549707,4.8,pass_yards,D.Prescott,QB,DAL,2025
00-0035676,AT&T Stadium,4,3,0.4647887323943662,0.5123239436619719,4.8,rec_yards,A.Brown,WR,PHI,2025
00-0035676,SoFi Stadium,4,3,0.4647887323943662,0.5123239436619719,4.8,rec_yards,A.Brown,WR,PHI,2025
00-0033553,State Farm Stadium,22,14,0.5454545454545454,0.593073593073593,4.8,rush_yards,J.Conner,RB,ARI,2025
00-0036223,Lucas Oil Stadium,32,17,0.45454545454545453,0.5017482517482518,4.7,rush_yards,J.Taylor,RB,IND,2025
00-0036980,MetLife Stadium,9,5,0.40384615384615385,0.4509283819628647,4.7,rec_yards,E.Moore,WR,BUF,2025
00-0033282,Bank of America Stadium,6,4,0.46296296296296297,0.50997150997151,4.7,rec_yards,C.Samuel,WR,BUF,2025
00-0032104,Allegiant Stadium,17,8,0.3684210526315789,0.41536273115220484,4.7,rush_yards,A.Abdullah,RB,IND,2025
00-0030506,Allegiant Stadium,6,4,0.46153846153846156,0.5088757396449705,4.7,rec_yards,T.Kelce,TE,KC,2025
00-0030506,Arrowhead Stadium,6,4,0.46153846153846156,0.5088757396449705,4.7,rec_yards,T.Kelce,TE,KC,2025
00-0032385,MetLife Stadium,12,6,0.375,0.421875,4.7,rec_yards,S.Shepard,WR,TB,2025
00-0033871,Nissan Stadium,5,3,0.37037037037037035,0.4162962962962963,4.6,rec_yards,C.Davis,WR,NYJ,2022
00-0034109,Empower Field at Mile High,4,3,0.47368421052631576,0.5197368421052632,4.6,rush_yards,P.Lindsay,RB,IND,2022
00-0032268,FedExField,4,3,0.47619047619047616,0.5218253968253969,4.6,pass_yards,M.Mariota,QB,WAS,2025
00-0030513,Mercedes-Benz Superdome,6,4,0.4666666666666667,0.5128205128205129,4.6,rush_yards,L.Murray,RB,BUF,2023
00-0036893,Heinz Field,7,5,0.5357142857142857,0.582010582010582,4.6,rush_yards,N.Harris,RB,LAC,2025
00-0034414,MetLife Stadium,4,3,0.4722222222222222,0.5185185185185185,4.6,rush_yards,B.Scott,RB,PHI,2023
00-0035685,Soldier Field,20,10,0.4084507042253521,0.454225352112676,4.6,rush_yards,D.Montgomery,RB,DET,2025
00-0039391,SoFi Stadium,6,4,0.4666666666666667,0.5128205128205129,4.6,rush_yards,K.Vidal,RB,LAC,2025
00-0035125,Allegiant Stadium,6,3,0.3,0.34615384615384615,4.6,rush_yards,A.Ingold,RB,MIA,2025
00-0031687,Hard Rock Stadium,16,8,0.3958333333333333,0.4421296296296296,4.6,rush_yards,R.Mostert,RB,LV,2025
00-0031549,Allegiant Stadium,8,5,0.46551724137931033,0.5110837438423645,4.6,rec_yards,N.Agholor,WR,BAL,2024
00-0037248,Gillette Stadium,4,3,0.48148148148148145,0.5262345679012346,4.5,rush_yards,J.Cook,RB,BUF,2025
00-0037563,AT&T Stadium,5,5,0.7777777777777778,0.8222222222222223,4.4,rush_yards,M.Davis,RB,DAL,2025
00-0035298,Raymond James Stadium,10,4,0.26666666666666666,0.31111111111111106,4.4,rec_yards,S.Miller,WR,PIT,2025
00-0039064,M&T Bank Stadium,20,12,0.5121951219512195,0.5560975609756097,4.4,rec_yards,Z.Flowers,WR,BAL,2025
00-0033757,Soldier Field,6,3,0.3076923076923077,0.35207100591715973,4.4,rec_yards,R.Tonyan,TE,KC,2025
00-0037741,AT&T Stadium,4,3,0.4888888888888889,0.5324074074074073,4.4,rec_yards,J.Dotson,WR,PHI,2025
